,wavelength,flux_spec
503,618870.7957850381,7414219636997.985
504,615460.2218234827,7279300646521.245
505,612068.44340831,7147844361925.658
506,608695.3569579626,7019769654346.244
507,605340.8594617166,6891242173416.534
508,602004.8484765368,6764896537412.633
509,598687.2221239478,6642144338649.475
510,595387.8790869222,6520475450817.035
511,592106.7186067869,6399910261814.126
512,588843.6404801467,6282997781675.365
513,585598.5450558237,6168146444941.649
514,582371.3332318133,6052902693378.154
515,579161.9064522587,5941217317328.34
516,575970.1667044407,5832980249857.987
517,572796.0165157841,5724523963816.91
518,569639.3589508826,5618236812863.747
519,566500.0976085362,5515662980676.845
520,563378.1366188091,5413711181031.866
521,560273.3806401005,5312381499233.526
522,557185.7348562338,5214850354949.232
523,554115.1049735611,5119641721849.178
524,551061.3972180835,5025211832777.633
525,548024.5183325863,4932333471726.574
526,545004.3755737925,4841040256179.636
527,542000.8767095297,4751533154851.372
528,539013.9300159132,4663965902718.696
529,536043.444274546,4577978360433.512
530,533089.3287697318,4493449941458.361
531,530151.4932857051,4410479294654.112
532,527229.8481038761,4330278888764.9097
533,524324.3040000909,4251837404505.6855
534,521434.77224190696,4173714306950.022
535,518561.1645858824,4097876359194.5073
536,515703.3932748819,4024241477418.94
537,512861.3710353966,3950347694555.7305
538,510035.0110748779,3877956652188.5464
539,507224.227079089,3808216263548.312
540,504428.9332094669,3739409852070.6523
541,501649.04410050175,3671473129727.372
542,498884.47485713,3605896589311.1562
543,496135.14105214126,3542232441370.85
544,493400.9587236008,3480131013103.481
545,490681.84437228524,3418869683299.903
546,487977.71495913144,3358340958261.56
547,485288.4879027023,3298644906828.687
548,482614.08107666345,3240675306201.7827
549,479954.4128072756,3185194982602.4277
550,477309.4018709011,3130712480404.0737
551,474678.9674915224,3077072868039.706
552,472063.0293382749,3024029388237.0737
553,469461.5075229955,2972063300846.712
554,466874.3225977807,2921069588946.1055
555,464301.3955525629,2871646120343.693
556,461742.6478126945,2823724095115.175
557,459198.0012365509,2776359374932.314
558,456667.3781131427,2730002403149.8096
559,454150.70115974266,2684590095463.746
560,451647.89351952606,2640690319306.494
561,449158.87875922356,2598198077365.209
562,446683.58086678636,2555751936614.28
563,444221.92424906505,2513815982127.057
564,441773.8337295018,2471881328826.762
565,439339.2345458332,2431823042510.122
566,436918.0523478092,2393564139741.092
567,434510.21319491987,2355670221996.871
568,432115.6435541394,2318501327432.9204
569,429734.27029767947,2281842079422.578
570,427366.02070075634,2245771558434.2905
571,425010.82243937015,2210280947052.427
572,422668.6035880956,2175571188466.7473
573,420339.2926178858,2141626002328.7751
574,418022.81839388754,2108077921430.3804
575,415719.1101732696,2075778503493.946
576,413428.09760306193,2044596276851.8994
577,411149.7107180066,2012735991049.1501
578,408883.8799384216,1981483122775.737
579,406630.53606807656,1951631748166.2598
580,404389.61029207846,1922136590612.8171
581,402161.03417477064,1892964719803.1504
582,399944.73965764313,1864628604735.6252
583,397740.65905725356,1836865274930.7622
584,395548.7250631606,1809033155012.6724
585,393368.87073586823,1782134083076.5334
586,391201.0295047812,1756097977211.413
587,389045.13516617345,1729632185123.7407
588,386901.1218811638,1703619418409.747
589,384768.9241737075,1678442321243.4995
590,382648.4769285956,1653472701974.9702
591,380539.7153894666,1628689132244.6685
592,378442.5751568293,1604346267355.9639
593,376356.99218609533,1580401395273.3823
594,374282.9027856237,1556356690477.23
595,372220.2436147754,1533242232190.8845
596,370168.9516819801,1511013779420.1345
597,368128.9643428112,1488820172599.5703
598,366100.21929807315,1466853436652.0295
599,364082.65459189913,1444653896803.6985
600,362076.20860985847,1422919618637.412
601,360080.82007707586,1401650431045.7585
602,358096.42805635894,1380387274554.4941
603,356122.9719463388,1359635722712.4863
604,354160.39147961757,1339628068913.7524
605,352208.62672092905,1319920567944.3018
606,350267.6180653084,1300461262110.884
607,348337.30623627093,1280947854319.7402
608,346417.632284003,1261732272851.8242
609,344508.53758356103,1242761206201.628
610,342609.9638330812,1224353623435.62
611,340721.8530519991,1206456965467.7646
612,338844.14757927903,1188459044139.2725
613,336976.7900716535,1170834984849.7253
614,335119.7235018712,1153754347138.263
615,333272.89115695615,1137104056323.9158
616,331436.2366364752,1120846281589.0703
617,329609.703850816,1104690327010.866
618,327793.23701947415,1088790210022.9171
619,325986.78066934936,1072920352540.8416
620,324190.2796330517,1057584503580.9888
621,322403.6790472164,1042765743957.107
622,320626.924350829,1027879036920.9095
623,318859.96128355816,1013394180630.08
624,317102.7358841001,999591247155.7164
625,315355.19448852906,986071560075.9343
626,313617.28372865944,972772824907.0614
627,311888.95053041587,959357554629.2195
628,310170.14211221173,946329858019.1027
629,308460.80598333856,934060989649.6431
630,306760.8899423615,922018946746.3844
631,305070.3420755263,910175677189.0773
632,303389.11075517326,898660542500.2037
633,301717.1446381607,887540270958.0281
634,300054.39266429766,876884721634.5126
635,298400.8040547833,866279353527.925
636,296756.32831065723,855711253645.9115
637,295120.91521125694,845650562362.257
638,293494.51481268404,835995978507.2527
639,291877.0774462789,826727312968.9949
640,290268.5537171046,817686085841.921
641,288668.89450243744,808845310474.6853
642,287078.0509502673,800115652213.9717
643,285495.9744778057,791730179201.4385
644,283922.616770002,783938182076.0406
645,282357.9297780683,776364826134.7437
646,280801.8657180117,768964615135.676
647,279254.3770691746,761509938348.5178
648,277715.4165727848,754332277223.1724
649,276184.93723051064,747776953623.5345
650,274662.89230302727,741207687513.3259
651,273149.23530858796,734604763918.2119
652,271643.9200216054,728523205510.422
653,270146.90047123976,722766219805.0988
654,268658.1309399947,717297077211.0222
655,267177.56596232124,711811505704.9375
656,265705.16032322985,706327458951.0033
657,264240.8690569086,701422794145.2677
658,262784.64744535054,696695550054.0088
659,261336.45101698823,691791642319.9432
660,259896.23554533496,687213781675.2637
661,258463.95704763534,682986297111.2205
662,257039.5717835204,678804249940.0323
663,255623.03625367334,674785283295.8215
664,254214.30719850012,671045080831.4777
665,252813.34159680884,667443892432.7135
666,251420.09666449603,663970611448.5321
667,250034.5298532394,660571965382.2819
668,248656.59884919925,657316615139.9872
669,247286.26157172554,654297846860.4888
670,245923.47617207325,651373397606.8815
671,244568.20103212466,648532265322.4125
672,243220.39476311734,645848879517.6868
673,241880.01620438104,643290117798.686
674,240547.02442208046,640835087982.2755
675,239221.37870796505,638460540150.9723
676,237903.0385781259,636167329429.8794
677,236591.96377175982,634024195613.0671
678,235288.11424993895,632014014307.9543
679,233991.45019438854,630181375720.7177
680,232701.93200627097,628509952976.942
681,231419.52030497623,626982407035.8104
682,230144.1759269197,625194376396.5891
683,228875.85992434554,623475279523.0643
684,227614.5335641374,622135732209.0061
685,226360.15832663618,620910446389.6594
686,225112.69590446266,619771128549.7601
687,223872.10820134857,618684750029.842
688,222638.35733097262,617681928693.3208
689,221411.40561580352,616827009989.0513
690,220191.21558594969,615994619439.8824
691,218977.74997801415,615174956823.314
692,217770.97173395817,614425644441.0299
693,216570.84399996756,613774852087.1077
694,215377.3301253284,613281896035.6083
695,214190.39366130772,612834433695.7379
696,213009.9983600398,612431583724.3903
697,211836.10817341975,612172115537.1693
698,210668.68725200262,611958880288.2377
699,209507.69994390814,611676779961.8842
700,208353.1107937323,611528224517.461
701,207204.88454146462,611538327526.0807
702,206062.9861214109,611654983006.0883
703,204927.38066112326,611854471588.5961
704,203798.03348033407,612144037550.3776
705,202674.91008989754,612553517126.5187
706,201557.97619073628,613099248962.7892
707,200447.19767279376,613810658402.3412
708,199342.54061399293,614699497186.2404
709,198243.97127919993,615978492261.7822
710,197151.4561191938,617487314094.8599
711,196064.9617696423,619269211303.0424
712,194984.45505008276,622011578539.2471
713,193909.90296290859,625774379888.178
714,192841.27269236217,631786068102.3694
715,191778.53160353194,642659455796.0088
716,190721.6472413564,658484755030.2755
717,189670.58732963243,672605664412.5093
718,188625.31977003,679200681872.4761
719,187585.81264111193,663229577462.7152
720,186552.03419735865,652516922704.4143
721,185523.9528681991,648301817635.8746
722,184501.53725704638,649583930708.7349
723,183484.75614033898,653531749121.3037
724,182473.57846658755,660868468148.7146
725,181467.97335542607,672637073236.3065
726,180467.9100966692,688876261069.7263
727,179473.35814937414,712224458647.9218
728,178484.28714090819,734408564013.4286
729,177500.66686602126,741208526828.6208
730,176522.46728592296,757156877444.3677
731,175549.65852736591,786810660682.3157
732,174582.21088173264,841599083188.776
733,173620.09480412918,889912323886.1768
734,172663.2809124821,886747574169.1183
735,171711.73998664174,885439072429.1472
736,170765.4429674894,888434343349.5038
737,169824.36095605014,879967606773.3049
738,168888.4652126102,865951121053.0374
739,167957.72715583927,844304232730.1785
740,167032.11836191785,837303441623.0383
741,166111.61056366898,849310608677.4496
742,165196.17564969498,907403784289.1975
743,164285.78566351905,939070245293.1002
744,163380.41280273156,820433770534.2029
745,162480.029418141,730560241290.821
746,161584.60801292936,679465840011.7307
747,160694.12124181262,652094751664.1505
748,159808.5419102057,634790116966.2578
749,158927.84297339173,623038835956.348
750,158051.99753569628,610833989957.8435
751,157180.9788496662,598134605158.8896
752,156314.7603152523,588268407059.6569
753,155453.31547899736,580000894035.4241
754,154596.61803322824,573493949308.7535
755,153744.6418152523,567991323913.9512
756,152897.36080655866,563327332691.1284
757,152054.7491320234,559510798291.6934
